player_name,pitch_type_full
"Bellatti, Andrew",['Four-Seam Fastball' 'Slider' 'Changeup']
"Bello, Brayan",['Sinker' 'Changeup' 'Slider' 'Four-Seam Fastball']
"Bellozo, Valente",['Changeup' 'Curveball' 'Sweeper' 'Four-Seam Fastball' 'Cutter' 'Splitter']
"Bender, Anthony",['Sinker' 'Sweeper' 'Four-Seam Fastball' 'Slider' 'Changeup' 'Cutter']
"Bermúdez, Jonathan",['Changeup' 'Four-Seam Fastball' 'Sweeper' 'Slider']
"Bernardino, Brennan",['Sinker' 'Slider' 'Curveball' 'Cutter']
"Berroa, Prelander",['Four-Seam Fastball' 'Slider' 'Sinker']
"Berríos, José",['Sinker' 'Slurve' 'Four-Seam Fastball' 'Changeup' 'Cutter']
"Bibee, Tanner",['Sweeper' 'Changeup' 'Curveball' 'Four-Seam Fastball' 'Sinker' 'Cutter']
"Bickford, Phil",['Four-Seam Fastball' 'Slider' 'Sinker']
"Bido, Osvaldo",['Four-Seam Fastball' 'Cutter' 'Changeup' 'Sinker' 'Slider' nan]
"Bieber, Shane",['Slider' 'Four-Seam Fastball' 'Knuckle Curve' 'Cutter' 'Changeup']
"Bielak, Brandon",['Four-Seam Fastball' 'Sinker' 'Slider' 'Changeup' 'Sweeper' 'Curveball']
"Bigge, Hunter",['Four-Seam Fastball' 'Slider' 'Curveball' 'Sweeper' 'Sinker']
"Bird, Jake",['Curveball' 'Slider' 'Sinker' 'Cutter' 'Changeup' 'Four-Seam Fastball']
"Birdsong, Hayden",['Changeup' 'Four-Seam Fastball' 'Slider' 'Curveball']
"Bivens, Spencer",['Cutter' 'Sweeper' 'Sinker' 'Changeup' 'Four-Seam Fastball' 'Slider']
"Blach, Ty",['Sinker' 'Cutter' 'Changeup' 'Curveball' 'Slider' 'Four-Seam Fastball']
"Black, Mason",['Sweeper' 'Sinker' 'Four-Seam Fastball' 'Slider' 'Changeup']
"Blackburn, Paul",['Slider' 'Changeup' 'Cutter' 'Four-Seam Fastball' 'Sinker' 'Curveball']
"Blalock, Bradley",['Slider' 'Four-Seam Fastball' 'Splitter' 'Curveball' 'Cutter' nan]
"Blanco, Ronel",['Slider' 'Four-Seam Fastball' 'Changeup' 'Curveball']
"Blewett, Scott",['Four-Seam Fastball' 'Splitter' 'Slider' 'Sinker']
"Bloss, Jake",['Slider' 'Four-Seam Fastball' 'Sweeper' 'Sinker' 'Changeup' 'Curveball']
"Bolton, Cody",['Sinker' 'Cutter' 'Sweeper' 'Four-Seam Fastball' 'Changeup']
"Booser, Cam",['Sweeper' 'Four-Seam Fastball' 'Cutter']
"Borucki, Ryan",['Slider' 'Sinker' 'Changeup' 'Sweeper']
"Bote, David",[nan 'Eephus']
"Bourassa, Ryan",['Four-Seam Fastball' 'Cutter' 'Curveball' 'Slider']
"Boushley, Caleb",['Sweeper' 'Cutter' 'Changeup' 'Curveball' 'Four-Seam Fastball' 'Sinker']
"Bowlan, Jonathan",['Slider' 'Four-Seam Fastball' 'Sinker' 'Changeup' 'Curveball']
"Bowman, Kaleb",['Sinker' 'Cutter' 'Curveball']
"Bowman, Matt",['Splitter' 'Cutter' 'Sinker' 'Sweeper' 'Four-Seam Fastball']
"Boyd, Matthew",['Four-Seam Fastball' 'Curveball' 'Changeup' 'Slider' 'Sinker']
"Boyer, Ryan",['Sinker' 'Four-Seam Fastball']
"Boyle, Joe",['Four-Seam Fastball' 'Slider' 'Sweeper' 'Curveball']
"Bradford, Cody",['Cutter' 'Four-Seam Fastball' 'Changeup' 'Curveball' 'Slider']
"Bradish, Kyle",['Curveball' 'Sinker' 'Four-Seam Fastball' 'Slider']
"Bradley, Taj",['Cutter' 'Four-Seam Fastball' 'Splitter' 'Curveball']
"Brasier, Ryan",['Slider' 'Four-Seam Fastball' 'Sinker' 'Cutter']
"Brazobán, Huascar",['Changeup' 'Sinker' 'Four-Seam Fastball' 'Cutter']
"Brebbia, John",['Four-Seam Fastball' 'Slider' 'Changeup']
"Brewer, Colten",['Curveball' 'Slider' 'Four-Seam Fastball' 'Sweeper' 'Sinker' 'Cutter']
"Brice, Austin",['Sinker' 'Four-Seam Fastball' 'Changeup' 'Curveball']
"Brieske, Beau",['Sinker' 'Slider' 'Four-Seam Fastball' 'Changeup']
"Brigham, Jeff",['Sweeper' 'Cutter' 'Four-Seam Fastball']
"Brito, Jhony","['Four-Seam Fastball' 'Sinker' nan 'Changeup' 'Sweeper' 'Slider'
 'Knuckle Curve']"
"Brogdon, Connor",['Changeup' 'Four-Seam Fastball' 'Cutter']
"Brooks, Aaron",['Sinker' 'Four-Seam Fastball' 'Slider' 'Changeup' 'Knuckle Curve']
"Brown, Ben",['Four-Seam Fastball' 'Knuckle Curve' 'Changeup']
"Brown, Hunter","['Four-Seam Fastball' 'Changeup' 'Cutter' 'Sinker' 'Knuckle Curve'
 'Slider']"
"Bruihl, Justin",['Cutter' 'Sinker' 'Sweeper']
"Bruján, Vidal",[nan 'Curveball' 'Eephus']
