player_name,pitch_type_full
"Gallegos, Giovanny",['Four-Seam Fastball' 'Changeup' 'Slider' 'Sinker']
"Gallen, Zac","['Knuckle Curve' 'Four-Seam Fastball' 'Changeup' 'Cutter' 'Slider'
 'Sinker']"
"Garabito, Gerson",['Four-Seam Fastball' 'Sinker' 'Curveball' 'Slider' 'Changeup']
"Garcia, Robert",['Slider' 'Four-Seam Fastball' 'Changeup' 'Sinker']
"García, Deivi",['Sweeper' 'Four-Seam Fastball' 'Curveball' 'Changeup']
"García, Luis",['Sinker' 'Splitter' 'Slider' 'Four-Seam Fastball' 'Sweeper' 'Cutter' nan]
"García, Yimi",['Four-Seam Fastball' 'Changeup' 'Curveball' 'Sweeper' 'Slider' 'Sinker']
"Gardner, Sam",['Curveball' 'Cutter' 'Four-Seam Fastball' 'Slider']
"Garnett, Tristan",['Changeup' 'Four-Seam Fastball' 'Slider']
"Garrett, Amir",['Slider' 'Four-Seam Fastball' 'Sinker']
"Garrett, Braxton",['Four-Seam Fastball' 'Changeup' 'Sinker' 'Slider' 'Curveball' 'Cutter']
"Garrett, Reed",['Four-Seam Fastball' 'Sweeper' 'Sinker' 'Cutter' 'Splitter']
"Garza, Justin","['Sinker' 'Changeup' 'Sweeper' 'Slider' 'Four-Seam Fastball' 'Curveball'
 'Cutter']"
"Gasser, Robert",['Changeup' 'Four-Seam Fastball' 'Sweeper' 'Sinker' 'Cutter']
"Gausman, Kevin",['Four-Seam Fastball' 'Splitter' 'Sinker' 'Slider']
"Geber, Jordan",['Four-Seam Fastball' 'Slider' 'Changeup' 'Cutter']
"Germán, Domingo",['Four-Seam Fastball' 'Changeup' 'Curveball' 'Sinker']
"Gervase, Paul",['Four-Seam Fastball' 'Sweeper' 'Slider']
"Gibaut, Ian",['Cutter' 'Slider' 'Four-Seam Fastball' 'Changeup' nan 'Sweeper']
"Gibson, Kyle","['Cutter' 'Sweeper' 'Four-Seam Fastball' 'Curveball' 'Sinker' 'Changeup'
 'Slider']"
"Gil, Luis",['Four-Seam Fastball' 'Changeup' 'Slider' 'Sinker']
"Gilbert, Logan","['Curveball' 'Slider' 'Sinker' 'Splitter' 'Four-Seam Fastball' 'Cutter'
 nan]"
"Gilbert, Tyler","['Sweeper' 'Four-Seam Fastball' 'Sinker' 'Cutter' 'Knuckle Curve'
 'Splitter']"
"Gilbreath, Lucas",['Four-Seam Fastball' 'Slider']
"Gillaspie, Logan","['Four-Seam Fastball' 'Sweeper' 'Curveball' 'Changeup' 'Cutter' 'Sinker'
 'Slider']"
"Gillispie, Connor",['Four-Seam Fastball' 'Cutter' 'Changeup' 'Sweeper']
"Ginkel, Kevin",['Four-Seam Fastball' 'Sinker' 'Slider']
"Ginn, J.T.",['Sinker' 'Slider' 'Four-Seam Fastball' 'Changeup' 'Cutter']
"Givens, Mychal",['Slider' 'Four-Seam Fastball' 'Changeup' 'Sinker']
"Glasnow, Tyler",['Curveball' 'Sinker' 'Slider' 'Four-Seam Fastball']
"Go, Woo-Suk",['Cutter' 'Four-Seam Fastball' 'Curveball']
"Gomber, Austin",['Four-Seam Fastball' 'Knuckle Curve' 'Changeup' 'Slider' 'Sinker' nan]
"Gomez, Cesar",['Sinker' 'Slider' 'Cutter' 'Changeup' 'Four-Seam Fastball']
"Gonzales, Marco",['Four-Seam Fastball' 'Changeup' 'Cutter' 'Curveball' 'Sinker']
"González, Victor",['Sinker' 'Changeup' 'Slider' 'Four-Seam Fastball']
"Gordon, Tanner",['Four-Seam Fastball' 'Changeup' 'Curveball' 'Slider']
"Gore, MacKenzie",['Slider' 'Four-Seam Fastball' 'Curveball' 'Cutter' 'Changeup' 'Sweeper']
"Gose, Anthony",['Slider' 'Four-Seam Fastball']
"Goss, JJ",['Four-Seam Fastball' 'Sinker' 'Cutter']
"Gowdy, Kevin",['Sinker' 'Slider' 'Four-Seam Fastball']
"Graceffo, Gordon",['Slider' 'Four-Seam Fastball' 'Changeup' 'Curveball']
"Graterol, Brusdar",['Sinker' 'Slider' 'Four-Seam Fastball' 'Cutter' 'Changeup']
"Gray, Jon",['Slider' 'Four-Seam Fastball' 'Curveball' 'Changeup']
"Gray, Josiah","['Sinker' 'Cutter' 'Slider' 'Curveball' 'Changeup' 'Sweeper'
 'Four-Seam Fastball']"
"Gray, Sonny","['Four-Seam Fastball' 'Sinker' 'Curveball' 'Sweeper' 'Cutter' 'Changeup'
 nan]"
"Green, Chad",['Four-Seam Fastball' 'Slider' 'Sinker' 'Cutter']
"Greene, Hunter",['Four-Seam Fastball' 'Slider' 'Splitter' 'Curveball' 'Sinker']
"Greene, Shane",['Sweeper' 'Cutter' 'Four-Seam Fastball']
"Grove, Michael",['Slider' 'Knuckle Curve' 'Sinker' 'Cutter' 'Four-Seam Fastball']
"Guenther, Sean",['Sinker' 'Splitter' 'Slider' 'Four-Seam Fastball' 'Changeup']
"Guerrero, Luis",['Changeup' 'Four-Seam Fastball' 'Sweeper']
"Guillorme, Luis",[nan]
"Gutierrez, Vladimir",['Four-Seam Fastball' 'Changeup' 'Slider' 'Curveball']
"Gómez, Yoendrys",['Sweeper' 'Four-Seam Fastball' 'Curveball' 'Slider' 'Changeup']
"Hader, Josh",['Sinker' 'Slider' 'Changeup' 'Four-Seam Fastball']
"Hagenman, Justin",['Cutter' 'Slider' 'Changeup' 'Sinker']
"Hall, DL",['Changeup' 'Curveball' 'Four-Seam Fastball' 'Slider']
"Halvorsen, Seth",['Four-Seam Fastball' 'Slider' 'Splitter' nan 'Curveball']
"Hamel, Dom",['Sweeper' 'Four-Seam Fastball' 'Curveball' 'Cutter' 'Changeup']
"Hamilton, Ian",['Slider' 'Four-Seam Fastball' 'Sinker']
"Hampson, Garrett",['Curveball' 'Slider']
"Hancock, Emerson",['Sinker' 'Four-Seam Fastball' 'Changeup' 'Slider' 'Sweeper' 'Cutter']
"Hanifee, Brenan",['Sinker' 'Slider' 'Four-Seam Fastball' 'Changeup' nan 'Cutter']
"Harper, Daniel",['Cutter' 'Four-Seam Fastball']
"Harris, Hobie",['Splitter' 'Four-Seam Fastball' 'Cutter']
"Harris, Hogan",['Four-Seam Fastball' 'Curveball' 'Changeup' 'Sweeper' 'Sinker' 'Cutter']
"Harrison, Kyle",['Four-Seam Fastball' 'Slurve' 'Changeup' 'Curveball' 'Sinker' 'Slider']
"Hartlieb, Geoff",['Cutter' 'Four-Seam Fastball' 'Slider' 'Sinker']
"Hartwig, Grant",['Sinker' 'Sweeper' 'Four-Seam Fastball' 'Cutter' 'Changeup']
"Harvey, Hunter",['Splitter' 'Four-Seam Fastball' 'Curveball' 'Slider']
"Headrick, Brent",['Splitter' 'Sinker' 'Slider' 'Four-Seam Fastball']
"Heaney, Andrew","['Changeup' 'Four-Seam Fastball' 'Curveball' 'Slider' nan 'Sinker'
 'Cutter' 'Slurve']"
"Heasley, Jonathan",['Four-Seam Fastball' 'Slider' 'Sweeper' 'Curveball' 'Changeup']
"Hedges, Austin",[nan 'Eephus']
"Heineman, Tyler",['Eephus' nan]
"Heller, Ben",['Four-Seam Fastball' 'Sinker' 'Changeup' 'Cutter' 'Slider' 'Sweeper']
"Helsley, Ryan",['Curveball' 'Four-Seam Fastball' 'Slider' 'Cutter']
"Hendricks, Kyle",['Four-Seam Fastball' 'Changeup' 'Sinker' 'Curveball']
"Henley, Blair",['Four-Seam Fastball' 'Curveball' 'Cutter' 'Sinker' 'Sweeper' 'Changeup']
"Henriquez, Edgardo",['Sinker' 'Four-Seam Fastball' 'Cutter']
"Henriquez, Ronny",['Changeup' 'Four-Seam Fastball' 'Slider' 'Sinker']
"Henry, Tommy",['Sinker' 'Four-Seam Fastball' 'Changeup' 'Slider' 'Curveball']
"Hensley, David",[nan 'Curveball']
"Hentges, Sam",['Curveball' 'Four-Seam Fastball' 'Slider' 'Sinker']
"Henzman, Lincoln",['Four-Seam Fastball' 'Slider' 'Changeup' 'Cutter']
"Herget, Jimmy",['Changeup' 'Sinker' 'Curveball' 'Four-Seam Fastball' 'Slider']
"Herget, Kevin",['Four-Seam Fastball' 'Changeup' 'Cutter' 'Slider']
"Hernandez, Aaron",['Sinker' 'Four-Seam Fastball' 'Cutter']
"Hernandez, Adrian",['Four-Seam Fastball' 'Screwball' 'Curveball']
"Hernandez, Jose E.",['Four-Seam Fastball' 'Slider' 'Changeup']
"Hernandez, Nick",['Four-Seam Fastball' 'Splitter' 'Slider']
"Hernández, Carlos",['Four-Seam Fastball' 'Knuckle Curve' 'Slider' 'Splitter' 'Sweeper']
"Hernández, Daysbel",['Slider' 'Four-Seam Fastball' 'Sinker']
"Hernández, Elieser",['Four-Seam Fastball' 'Cutter' 'Sinker' 'Changeup' 'Slider']
"Hernández, Enrique",[nan 'Eephus']
"Hernández, Jonathan",['Sinker' 'Slider' 'Changeup' 'Four-Seam Fastball']
"Herrin, Tim",['Sinker' 'Curveball' 'Four-Seam Fastball' 'Slider']
"Herz, DJ",['Four-Seam Fastball' 'Changeup' 'Slider' 'Knuckle Curve']
"Hicks, Aaron",[nan]
"Hicks, Jordan",['Splitter' 'Sinker' 'Sweeper' 'Four-Seam Fastball']
"Higginbotham, Jake",['Four-Seam Fastball' 'Slider']
"Hill, Jaden",['Slider' 'Sinker' 'Four-Seam Fastball' 'Changeup']
"Hill, Rich",['Curveball' 'Four-Seam Fastball' 'Cutter' 'Sweeper' 'Sinker']
"Hill, Tim",['Sinker' 'Four-Seam Fastball' 'Slider']
"Hjelle, Sean",['Sinker' 'Four-Seam Fastball' 'Cutter' 'Knuckle Curve']
"Hodge, Porter",['Four-Seam Fastball' 'Sweeper' 'Splitter']
"Hoeing, Bryan",['Splitter' 'Sinker' 'Slider' 'Four-Seam Fastball']
"Hoffman, Jeff",['Slider' 'Four-Seam Fastball' 'Splitter' 'Sinker']
"Holderman, Colin",['Sweeper' 'Sinker' 'Cutter' 'Four-Seam Fastball']
"Holloway, Jordan",['Knuckle Curve' 'Four-Seam Fastball' 'Slider' 'Sinker']
"Hollowell, Gavin",['Sweeper' 'Four-Seam Fastball' 'Sinker']
"Holman, Grant",['Splitter' 'Four-Seam Fastball' 'Slider']
"Holmes, Clay",['Sweeper' 'Slider' 'Sinker' 'Four-Seam Fastball']
"Holmes, Grant",['Slider' 'Cutter' 'Four-Seam Fastball' 'Curveball' 'Changeup']
"Holton, Tyler",['Cutter' 'Four-Seam Fastball' 'Sweeper' 'Sinker' 'Curveball' 'Changeup']
"Honeywell, Brent",['Slider' 'Four-Seam Fastball' 'Changeup' 'Screwball' 'Sinker' 'Sweeper']
"Horn, Bailey",['Cutter' 'Four-Seam Fastball' 'Sweeper' 'Curveball']
"Houck, Tanner",['Splitter' 'Sweeper' 'Sinker' 'Four-Seam Fastball' 'Cutter']
"Houser, Adrian",['Four-Seam Fastball' 'Sinker' 'Slider' 'Curveball' 'Changeup']
"Howard, Spencer",['Four-Seam Fastball' 'Changeup' 'Slider' 'Curveball']
"Hudson, Bryan",['Four-Seam Fastball' 'Sweeper' 'Cutter']
"Hudson, Dakota","['Cutter' 'Curveball' 'Four-Seam Fastball' 'Sinker' 'Changeup' 'Slider'
 nan]"
"Hudson, Daniel",['Four-Seam Fastball' 'Slider' 'Sinker' 'Changeup']
"Hughes, Brandon",['Sinker' 'Slider' 'Four-Seam Fastball']
"Hurt, Kyle",['Changeup' 'Four-Seam Fastball' 'Slider' 'Sinker' 'Curveball']
"Hurter, Brant",['Sinker' 'Four-Seam Fastball' 'Sweeper' 'Changeup']
"Iglesias, Raisel",['Four-Seam Fastball' 'Slider' 'Sinker' 'Changeup']
"Imanaga, Shota","['Splitter' 'Four-Seam Fastball' 'Sinker' 'Changeup' 'Sweeper' 'Curveball'
 'Slider' nan 'Cutter']"
"Iriarte, Jairo",['Changeup' 'Four-Seam Fastball' 'Slider']
"Irvin, Cole",['Changeup' 'Sinker' 'Cutter' 'Four-Seam Fastball' 'Slider' 'Curveball']
"Irvin, Jake",['Sinker' 'Curveball' 'Four-Seam Fastball' 'Cutter' 'Changeup' 'Slider']
"Jackson, Jay",['Changeup' 'Sinker' 'Slider' 'Four-Seam Fastball']
"Jackson, Luke",['Slider' 'Curveball' 'Four-Seam Fastball' 'Cutter']
"Jackson, Zach",['Four-Seam Fastball' 'Slider' 'Changeup']
"Jacob, Alek",['Sinker' 'Changeup' 'Four-Seam Fastball' 'Sweeper']
"Jacques, Joe",['Sinker' 'Sweeper' 'Slider']
"James, Josh",['Changeup' 'Four-Seam Fastball' 'Slider' 'Cutter']
"Jansen, Kenley",['Cutter' 'Slider' 'Sinker']
"Jarvis, Bryce",['Four-Seam Fastball' 'Sinker' 'Slider' 'Cutter' 'Changeup' 'Curveball']
"Javier, Cristian",['Four-Seam Fastball' 'Slider' 'Changeup' 'Knuckle Curve']
"Jax, Griffin",['Sweeper' 'Four-Seam Fastball' 'Sinker' 'Curveball' 'Changeup']
"Jay, Tyler",['Sinker' 'Sweeper' 'Cutter' 'Four-Seam Fastball']
"Jefferies, Daulton",['Sinker' 'Four-Seam Fastball' 'Slider' 'Cutter' 'Changeup' 'Curveball']
"Jimenez, Antonio",['Slider' 'Four-Seam Fastball' 'Sinker' 'Changeup']
"Jiménez, Dany",['Slider' 'Four-Seam Fastball' 'Changeup']
"Jiménez, Joe",['Slider' 'Four-Seam Fastball' 'Changeup']
"Jobe, Jackson",['Four-Seam Fastball' 'Sweeper' 'Cutter' 'Changeup' 'Slider']
"Johnson, Pierce",['Curveball' 'Cutter' 'Four-Seam Fastball']
"Johnson, Seth",['Four-Seam Fastball' 'Slider' 'Changeup' 'Curveball']
"Jones, Jared",['Slider' 'Four-Seam Fastball' 'Curveball' 'Changeup' 'Sinker']
"Joyce, Ben",['Four-Seam Fastball' 'Slider' 'Sinker' 'Changeup']
"Juarez, Daniel",['Four-Seam Fastball' 'Sinker' 'Slider']
"Juenger, Hayden",['Cutter' 'Changeup' 'Four-Seam Fastball' 'Slider']
"Junis, Jakob",['Sinker' 'Four-Seam Fastball' 'Slider' 'Changeup' 'Cutter']
"Junk, Janson",['Slider' 'Four-Seam Fastball' 'Curveball' 'Sweeper' 'Sinker']
"Junker, Cameron",['Slider' 'Four-Seam Fastball']
"Justice, Evan",['Slider' 'Four-Seam Fastball']
"Kahnle, Tommy",['Changeup' 'Four-Seam Fastball' 'Sinker' 'Slider']
"Karcher, Ricky",['Changeup' 'Four-Seam Fastball' 'Sinker']
"Karros, Jared",['Changeup' 'Four-Seam Fastball' 'Slider']
"Keller, Brad",['Four-Seam Fastball' 'Slider' 'Sweeper' 'Changeup' 'Sinker' 'Curveball']
"Keller, Mitch","['Slider' 'Four-Seam Fastball' 'Sweeper' 'Sinker' 'Cutter' 'Curveball'
 'Changeup' nan]"
"Kelley, Trevor",['Sinker' 'Sweeper']
"Kelly, Casey",['Sinker' 'Slider' 'Curveball' 'Four-Seam Fastball' 'Changeup']
"Kelly, Joe",['Sinker' 'Four-Seam Fastball' 'Changeup' 'Knuckle Curve' 'Slider']
"Kelly, Kevin",['Sinker' 'Sweeper' 'Cutter' 'Four-Seam Fastball']
"Kelly, Merrill",['Cutter' 'Curveball' 'Changeup' 'Slider' 'Sinker' 'Four-Seam Fastball']
"Kelly, Michael",['Four-Seam Fastball' 'Sweeper' 'Slider' 'Sinker']
"Kelly, Zack",['Sweeper' 'Four-Seam Fastball' 'Changeup' 'Cutter' nan]
"Kerkering, Orion",['Sweeper' 'Four-Seam Fastball' 'Sinker']
"Kerr, Ray",['Four-Seam Fastball' 'Curveball' 'Splitter' 'Cutter']
"Kershaw, Clayton",['Curveball' 'Four-Seam Fastball' 'Slider' 'Splitter' 'Changeup' 'Sinker']
"Kessinger, Grae",[nan]
"Keuchel, Dallas",['Changeup' 'Sinker' 'Cutter' 'Slider']
"Kikuchi, Yusei",['Curveball' 'Slider' 'Four-Seam Fastball' 'Changeup']
"Kilian, Caleb","['Cutter' 'Four-Seam Fastball' 'Sweeper' 'Knuckle Curve' 'Sinker'
 'Changeup']"
"Kimbrel, Craig",['Knuckle Curve' 'Four-Seam Fastball' 'Changeup' 'Sweeper']
"Kiner-Falefa, Isiah",[nan]
"King, Bryan",['Four-Seam Fastball' 'Sweeper' 'Sinker' 'Curveball']
"King, John",['Sinker' 'Changeup' 'Slider' 'Four-Seam Fastball']
"King, Joseph",['Four-Seam Fastball' 'Changeup' 'Curveball' 'Slider']
"King, Michael",['Sinker' 'Slider' 'Four-Seam Fastball' 'Changeup' 'Sweeper']
"Kinley, Tyler",['Slider' 'Four-Seam Fastball' 'Changeup' 'Sinker' 'Cutter']
"Kirby, George","['Four-Seam Fastball' 'Slider' 'Sinker' 'Splitter' 'Knuckle Curve'
 'Knuckleball' 'Cutter']"
"Kitchen, Austin",['Sweeper' 'Sinker' 'Curveball' 'Changeup' 'Four-Seam Fastball']
"Kittredge, Andrew",['Sinker' 'Slider' 'Four-Seam Fastball' 'Cutter' nan]
"Klein, Will",['Four-Seam Fastball' 'Slider' 'Curveball' 'Cutter' 'Sinker']
"Kloffenstein, Adam",['Curveball' 'Sinker' 'Cutter']
"Knack, Landon","['Slider' 'Four-Seam Fastball' 'Knuckle Curve' 'Changeup' 'Curveball'
 'Sweeper']"
"Knizner, Andrew",['Eephus' nan]
"Koch, Matt",['Four-Seam Fastball' 'Cutter' 'Slider']
"Kochanowicz, Jack",['Sinker' 'Four-Seam Fastball' 'Sweeper' 'Slider' 'Changeup']
"Koenig, Jared",['Sinker' 'Cutter' 'Changeup' 'Curveball' 'Four-Seam Fastball' 'Slider']
"Kolarek, Adam",['Slider' 'Sinker']
"Kolek, Stephen",['Cutter' 'Sinker' 'Slider' 'Four-Seam Fastball' 'Changeup' 'Sweeper']
"Kopech, Michael",['Four-Seam Fastball' 'Cutter' 'Slider' nan]
"Kravetz, Evan",['Splitter' 'Four-Seam Fastball' 'Knuckle Curve']
"Krehbiel, Joey",['Sinker' 'Cutter' 'Four-Seam Fastball' 'Changeup']
"Kremer, Dean",['Splitter' 'Four-Seam Fastball' 'Cutter' 'Sinker' 'Curveball']
"Kristofak, Zac",['Slider' 'Four-Seam Fastball' 'Changeup' 'Curveball']
"Krook, Matt",['Sweeper' 'Sinker' 'Cutter' 'Changeup']
"Kuhl, Chad",['Slider' 'Sweeper' 'Four-Seam Fastball' 'Changeup' 'Sinker' 'Cutter']
"Kuhnel, Joel",['Slider' 'Four-Seam Fastball' 'Changeup' 'Sinker' 'Curveball']
"Kwiatkowski, Robert",['Changeup' 'Four-Seam Fastball' 'Slider']
"La Sorsa, Joe",['Sweeper' 'Sinker' 'Changeup' 'Cutter' 'Four-Seam Fastball']
"Labaut, Randy",['Four-Seam Fastball' 'Changeup' 'Cutter']
"Lambert, Peter","['Changeup' 'Four-Seam Fastball' 'Slider' 'Slurve' 'Cutter' 'Curveball'
 'Sinker']"
"Lamet, Dinelson",['Four-Seam Fastball' 'Slider' 'Sinker' 'Changeup']
"Lange, Alex",['Knuckle Curve' 'Sinker' 'Four-Seam Fastball' 'Changeup']
"Lao, Sauryn",['Sinker' 'Slider']
"Latz, Jacob",['Four-Seam Fastball' 'Curveball' 'Slider' 'Changeup']
"Lauer, Eric",['Curveball' 'Slider' 'Four-Seam Fastball']
"Law, Derek",['Four-Seam Fastball' 'Cutter' 'Slider' 'Sinker' 'Changeup' 'Curveball']
"Lawrence, Casey",['Changeup' 'Slider' 'Sinker' 'Cutter' 'Four-Seam Fastball' 'Sweeper']
"Lawrence, Justin",['Sinker' 'Sweeper' 'Four-Seam Fastball']
"Lazar, Max",['Four-Seam Fastball' 'Curveball' 'Cutter' 'Slider']
"Leahy, Kyle",['Slider' 'Changeup' 'Four-Seam Fastball' 'Sweeper' 'Curveball']
"Leasure, Jordan",['Four-Seam Fastball' 'Curveball' 'Slider']
"Leclerc, José",['Slider' 'Curveball' 'Four-Seam Fastball' 'Cutter' 'Changeup' 'Sinker']
"Lee, Dylan",['Slider' 'Four-Seam Fastball' 'Changeup']
"Leftwich, Jack",['Four-Seam Fastball' 'Sinker' 'Curveball' 'Sweeper' 'Slider']
"Legumina, Casey",['Changeup' 'Four-Seam Fastball' 'Slider' 'Sweeper']
"Lehman, Taylor",['Curveball' 'Four-Seam Fastball' 'Cutter']
"Leibrandt, Brandon",['Changeup' 'Four-Seam Fastball' 'Slider' 'Sinker' 'Sweeper']
"Leigh, Zac",['Slider' 'Cutter' 'Sinker' 'Four-Seam Fastball' 'Curveball']
"Leiter Jr., Mark","['Sweeper' 'Curveball' 'Four-Seam Fastball' 'Splitter' 'Cutter' 'Sinker'
 'Changeup']"
"Leiter, Jack",['Slider' 'Four-Seam Fastball' 'Curveball' 'Changeup' 'Sinker' 'Cutter']
"Leone, Dominic",['Slider' 'Four-Seam Fastball' 'Changeup' 'Sinker' 'Cutter' 'Sweeper']
"Liberatore, Matthew",['Four-Seam Fastball' 'Slider' 'Sinker' 'Cutter' 'Curveball' 'Changeup']
"Linarez, Valentin",['Four-Seam Fastball' 'Sinker' 'Slider']
"Liranzo, Jesús",['Cutter' 'Four-Seam Fastball' 'Changeup']
"Littell, Zack",['Splitter' 'Sinker' 'Slider' 'Four-Seam Fastball' 'Sweeper']
"Little, Brendon",['Sinker' 'Cutter' 'Knuckle Curve']
"Little, Luke",['Sweeper' 'Four-Seam Fastball' 'Splitter' 'Sinker' 'Slider']
"Lively, Ben","['Sinker' 'Slider' 'Four-Seam Fastball' 'Changeup' 'Curveball' 'Sweeper'
 'Cutter']"
"Lodolo, Nick",['Curveball' 'Four-Seam Fastball' 'Changeup' 'Sinker' nan]
"Loftin, Nick",[nan 'Curveball' 'Slider']
"Logue, Zach",['Curveball' 'Four-Seam Fastball' 'Changeup' 'Sinker' 'Cutter']
"Long, Sam",['Four-Seam Fastball' 'Splitter' 'Curveball' 'Slider' 'Sinker']
"Lopez, Jacob",['Four-Seam Fastball' 'Cutter' 'Slider' 'Changeup']
"Lorenzen, Michael","['Four-Seam Fastball' 'Sweeper' 'Curveball' 'Cutter' 'Sinker' 'Slider'
 'Changeup']"
"Loutos, Ryan",['Sweeper' 'Four-Seam Fastball' 'Changeup']
"Lovelady, Richard",['Slider' 'Sinker' 'Four-Seam Fastball' 'Sweeper']
"Lowder, Rhett",['Four-Seam Fastball' 'Slider' 'Changeup' 'Sinker']
"Loáisiga, Jonathan",['Changeup' 'Sinker' 'Four-Seam Fastball' 'Curveball']
"Lucas, Easton",['Four-Seam Fastball' 'Cutter' 'Sweeper' 'Changeup' 'Slider']
"Lucchesi, Joey",['Cutter' 'Sinker' 'Curveball' 'Changeup' 'Four-Seam Fastball']
"Lugo, Seth","['Cutter' 'Four-Seam Fastball' 'Slurve' 'Sweeper' 'Sinker' 'Curveball'
 'Splitter' 'Changeup' 'Slider' nan]"
"Luzardo, Jesús",['Changeup' 'Four-Seam Fastball' 'Slider' 'Sinker' 'Curveball']
"Lyles, Jordan",['Cutter' 'Changeup' 'Curveball' 'Sweeper' 'Sinker' 'Four-Seam Fastball']
"Lynch IV, Daniel","['Changeup' 'Four-Seam Fastball' 'Sinker' 'Knuckle Curve' 'Slider'
 'Cutter']"
"Lynn, Lance",['Four-Seam Fastball' 'Curveball' 'Sinker' 'Changeup' 'Cutter' 'Sweeper']
"López, Jorge",['Changeup' 'Knuckle Curve' 'Four-Seam Fastball' 'Sinker' 'Slider']
"López, Pablo",['Sweeper' 'Four-Seam Fastball' 'Changeup' 'Sinker' 'Curveball']
"López, Reynaldo",['Slider' 'Four-Seam Fastball' 'Curveball' 'Changeup']
"Mabrey, Will",['Slider' 'Sinker']
"Maciejewski, Josh",['Changeup' 'Four-Seam Fastball' 'Sinker' 'Slider']
"Macuare, Angel",['Four-Seam Fastball' 'Cutter' 'Slider']
"Madden, Ty","['Slider' 'Four-Seam Fastball' 'Cutter' 'Splitter' 'Sinker'
 'Knuckle Curve']"
"Maeda, Kenta","['Sweeper' 'Splitter' 'Sinker' 'Four-Seam Fastball' 'Curveball' 'Slider'
 'Cutter']"
"Mahle, Tyler",['Four-Seam Fastball' 'Splitter' 'Slider' 'Cutter']
"Maile, Luke",[nan 'Knuckleball' 'Eephus']
"Maldonado, Anthony",['Four-Seam Fastball' 'Slider' 'Cutter' 'Sinker']
"Manaea, Sean",['Sweeper' 'Changeup' 'Four-Seam Fastball' 'Sinker' 'Slider' 'Cutter']
"Manning, Matt",['Sweeper' 'Four-Seam Fastball' 'Slider' 'Splitter' 'Curveball']
"Manoah, Alek",['Four-Seam Fastball' 'Slider' 'Changeup' 'Sinker']
"Mantiply, Joe",['Curveball' 'Sinker' 'Changeup' 'Four-Seam Fastball']
"Marinaccio, Ron",['Four-Seam Fastball' 'Changeup' 'Sweeper' 'Sinker']
"Marquez, Emilio",['Slider' 'Four-Seam Fastball' 'Curveball']
"Marrero, Andrew",['Sinker' 'Slider']
"Marsh, Alec",['Curveball' 'Sinker' 'Slider' 'Changeup' 'Four-Seam Fastball' 'Sweeper']
"Marte, José",['Sinker' 'Changeup' 'Slider' 'Four-Seam Fastball']
"Marte, Yunior",['Slider' 'Sinker' 'Four-Seam Fastball' 'Splitter' 'Cutter']
"Martin, Chris",['Sinker' 'Cutter' 'Splitter' 'Four-Seam Fastball' 'Sweeper']
"Martin, Davis",['Sinker' 'Slider' 'Cutter' 'Changeup' 'Curveball' 'Four-Seam Fastball']
"Martin, Riley",['Four-Seam Fastball' 'Slider' 'Curveball' 'Cutter']
"Martinez, Justin",['Sinker' 'Four-Seam Fastball' 'Slider' 'Splitter']
"Martinez, Nick",['Sinker' 'Cutter' 'Curveball' 'Changeup' 'Four-Seam Fastball' 'Slider']
"Martinez, Seth",['Sweeper' 'Changeup' 'Four-Seam Fastball' 'Sinker']
"Maton, Phil",['Cutter' 'Sinker' 'Curveball' 'Sweeper' 'Slider']
"Matsui, Yuki",['Slider' 'Four-Seam Fastball' 'Splitter' 'Sweeper' 'Curveball' 'Sinker']
"Matthews, John",['Slider' 'Sinker' 'Curveball']
"Matthews, Zebby",['Slider' 'Four-Seam Fastball' 'Cutter' 'Curveball' 'Changeup']
"Mattson, Isaac",['Changeup' 'Four-Seam Fastball' 'Slider' 'Curveball']
"Matz, Steven",['Changeup' 'Curveball' 'Sinker' 'Slider' 'Four-Seam Fastball']
"Matzek, Tyler",['Four-Seam Fastball' 'Slider' 'Cutter' 'Sinker']
"Mayers, Mike",['Slider' 'Four-Seam Fastball' 'Cutter']
"Mayza, Tim",['Sinker' 'Four-Seam Fastball' 'Cutter' 'Slider']
"Mazur, Adam",['Four-Seam Fastball' 'Changeup' 'Curveball' 'Slider' 'Sinker' 'Sweeper']
"McArthur, James",['Sinker' 'Slider' 'Curveball' 'Four-Seam Fastball' nan]
"McCann, James",['Eephus' 'Knuckleball']
"McCaughan, Darren",['Sinker' 'Sweeper' 'Changeup' 'Four-Seam Fastball']
"McClure, Kade",['Curveball' 'Four-Seam Fastball' 'Slider' 'Changeup']
"McDermott, Chayce",['Four-Seam Fastball' 'Slider' 'Changeup' 'Curveball' 'Sweeper']
"McDonald, Cole",['Sweeper' 'Four-Seam Fastball' 'Cutter' 'Curveball']
"McDonald, Trevor",['Sinker' 'Slider' 'Changeup' 'Four-Seam Fastball']
"McFarland, T.J.",['Sinker' 'Sweeper' 'Changeup' 'Cutter']
"McGough, Scott",['Four-Seam Fastball' 'Slider' 'Splitter' 'Sinker']
"McGough, Trey",['Slider' 'Four-Seam Fastball' 'Changeup' 'Curveball' 'Sinker']
"McGreevy, Michael",['Four-Seam Fastball' 'Sweeper' 'Sinker' 'Cutter' 'Curveball' 'Changeup']
"McKay, Tyler",['Changeup' 'Sinker' 'Sweeper']
"McKenzie, Triston",['Slider' 'Four-Seam Fastball' 'Curveball']
"McKinstry, Zach",['Curveball' nan 'Eephus']
